Mod:Item:MetaData, Localized Name
minecraft:stone, Камень
minecraft:grass, Блок травы
minecraft:dirt:0, Земля
minecraft:dirt:1, Земля
minecraft:dirt:2, Подзол
minecraft:cobblestone, Булыжник
minecraft:planks:0, Дубовые доски
minecraft:planks:1, Еловые доски
minecraft:planks:2, Берёзовые доски
minecraft:planks:3, Доски тропического дерева
minecraft:planks:4, Акациевые доски
minecraft:planks:5, Доски тёмного дуба
minecraft:sapling:0, Саженец дуба
minecraft:sapling:1, Саженец ели
minecraft:sapling:2, Саженец берёзы
minecraft:sapling:3, Саженец тропического дерева
minecraft:sapling:4, Саженец акации
minecraft:sapling:5, Саженец тёмного дуба
minecraft:bedrock, Бедрок
minecraft:flowing_water, Вода
minecraft:water, Вода
minecraft:flowing_lava, Лава
minecraft:lava, Лава
minecraft:sand:0, Песок
minecraft:sand:1, Красный песок
minecraft:gravel, Гравий
minecraft:gold_ore, Золотая руда
minecraft:iron_ore, Железная руда
minecraft:coal_ore, Уголь
minecraft:log:0, Дубовая древесина
minecraft:log:1, Еловая древесина
minecraft:log:2, Берёзовая древесина
minecraft:log:3, Древесина тропического дерева
minecraft:leaves:0, Дубовые листья
minecraft:leaves:1, Хвоя
minecraft:leaves:2, Берёзовые листья
minecraft:leaves:3, Листья тропического дерева
minecraft:sponge, Губка
minecraft:glass, Стекло
minecraft:lapis_ore, Лазуритовая руда
minecraft:lapis_block, Блок лазурита
minecraft:dispenser, Раздатчик
minecraft:sandstone:0, Песчаник
minecraft:sandstone:1, Декоративный песчаник
minecraft:sandstone:2, Резной песчаник
minecraft:noteblock, Нотный блок
minecraft:golden_rail, Энергорельсы
minecraft:detector_rail, Рельсы с датчиком
minecraft:sticky_piston, Липкий поршень
minecraft:web, Паутина
minecraft:tallgrass:0, Куст
minecraft:tallgrass:1, Высокая трава
minecraft:tallgrass:2, Папоротник
minecraft:deadbush, Мертвый куст
minecraft:piston, Поршень
minecraft:wool:0, Шерсть
minecraft:wool:1, Оранжевая шерсть
minecraft:wool:2, Пурпурная шерсть
minecraft:wool:3, Голубая шерсть
minecraft:wool:4, Желтая шерсть
minecraft:wool:5, Лаймовая шерсть
minecraft:wool:6, Розовая шерсть
minecraft:wool:7, Серая шерсть
minecraft:wool:8, Светло-серая шерсть
minecraft:wool:9, Бирюзовая шерсть
minecraft:wool:10, Фиолетовая шерсть
minecraft:wool:11, Синяя шерсть
minecraft:wool:12, Коричневая шерсть
minecraft:wool:13, Зеленая шерсть
minecraft:wool:14, Красная шерсть
minecraft:wool:15, Черная шерсть
minecraft:yellow_flower:0, Одуванчик
minecraft:red_flower:0, Мак
minecraft:red_flower:1, Синяя орхидея
minecraft:red_flower:2, Лук
minecraft:red_flower:3, Голубой василек
minecraft:red_flower:4, Красный тюльпан
minecraft:red_flower:5, Оранжевый тюльпан
minecraft:red_flower:6, Белый тюльпан
minecraft:red_flower:7, Розовый тюльпан
minecraft:red_flower:8, Ромашка
minecraft:brown_mushroom, Гриб
minecraft:red_mushroom, Гриб
minecraft:gold_block, Золотой блок
minecraft:iron_block, Железный блок
minecraft:stone_slab:0, Гладкая каменная плита
minecraft:stone_slab:1, Плита из песчаника
minecraft:stone_slab:3, Плита из булыжника
minecraft:stone_slab:4, Кирпичная плита
minecraft:stone_slab:5, Плита из каменных кирпичей
minecraft:stone_slab:6, Плита из адского кирпича
minecraft:stone_slab:7, Кварцевая плита
minecraft:brick_block, Кирпичи
minecraft:tnt, Динамит
minecraft:bookshelf, Книжная полка
minecraft:mossy_cobblestone, Замшелый булыжник
minecraft:obsidian, Обсидиан
minecraft:torch, Факел
minecraft:fire, Огонь
minecraft:mob_spawner:0, Спаунер
minecraft:oak_stairs, Дубовые ступеньки
minecraft:chest, Сундук
minecraft:diamond_ore, Алмазная руда
